E,J,e/f,State,v,Lambda,Sigma,L
38222.286637,0.5,e,2,2,0,0.5,8.0
40815.397054,0.5,e,2,3,0,0.5,8.0
43201.072197,0.5,e,2,4,0,0.5,8.0
45365.083635,0.5,e,2,5,0,0.5,8.0
47284.641065,0.5,e,2,6,0,0.5,8.0
48912.318591,0.5,e,2,7,0,0.5,8.0
50179.456395,0.5,e,2,8,0,0.5,8.0
51011.120727,0.5,e,2,9,0,0.5,8.0
38252.648662,0.5,f,2,2,0,-0.5,8.0
40844.031849,0.5,f,2,3,0,-0.5,8.0
43227.804917,0.5,f,2,4,0,-0.5,8.0
45389.849782,0.5,f,2,5,0,-0.5,8.0
47307.073368,0.5,f,2,6,0,-0.5,8.0
48930.959603,0.5,f,2,7,0,-0.5,8.0
50195.993815,0.5,f,2,8,0,-0.5,8.0
51022.952709,0.5,f,2,9,0,-0.5,8.0
38313.629598,1.5,f,2,2,0,0.5,8.0
40901.550914,1.5,f,2,3,0,0.5,8.0
43281.60864,1.5,f,2,4,0,0.5,8.0
45439.573351,1.5,f,2,5,0,0.5,8.0
47352.254726,1.5,f,2,6,0,0.5,8.0
48970.226564,1.5,f,2,7,0,0.5,8.0
50229.117498,1.5,f,2,8,0,0.5,8.0
51046.574998,1.5,f,2,9,0,0.5,8.0
38252.954432,1.5,e,2,2,0,-0.5,8.0
40844.322665,1.5,e,2,3,0,-0.5,8.0
43228.063805,1.5,e,2,4,0,-0.5,8.0
45390.102703,1.5,e,2,5,0,-0.5,8.0
47307.278126,1.5,e,2,6,0,-0.5,8.0
48931.03669,1.5,e,2,7,0,-0.5,8.0
50196.173616,1.5,e,2,8,0,-0.5,8.0
51023.086427,1.5,e,2,9,0,-0.5,8.0
38314.138824,2.5,e,2,2,0,0.5,8.0
40902.035668,2.5,e,2,3,0,0.5,8.0
43282.05891,2.5,e,2,4,0,0.5,8.0
45440.004271,2.5,e,2,5,0,0.5,8.0
47352.619325,2.5,e,2,6,0,0.5,8.0
48970.529961,2.5,e,2,7,0,0.5,8.0
50229.395642,2.5,e,2,8,0,0.5,8.0
51046.795833,2.5,e,2,9,0,0.5,8.0
35621.897734,2.5,f,2,1,0,-0.5,8.0
38405.030275,2.5,f,2,2,0,-0.5,8.0
40987.753242,2.5,f,2,3,0,-0.5,8.0
43362.277194,2.5,f,2,4,0,-0.5,8.0
45513.292203,2.5,f,2,5,0,-0.5,8.0
47420.101265,2.5,f,2,6,0,-0.5,8.0
49029.914451,2.5,f,2,7,0,-0.5,8.0
50278.822595,2.5,f,2,8,0,-0.5,8.0
51081.581747,2.5,f,2,9,0,-0.5,8.0
35750.301684,3.5,f,2,1,0,0.5,8.0
38526.701127,3.5,f,2,2,0,0.5,8.0
41102.684635,3.5,f,2,3,0,0.5,8.0
43469.99047,3.5,f,2,4,0,0.5,8.0
45610.97094,3.5,f,2,5,0,0.5,8.0
47510.346838,3.5,f,2,6,0,0.5,8.0
49109.433053,3.5,f,2,7,0,0.5,8.0
50344.191824,3.5,f,2,8,0,0.5,8.0
51127.408377,3.5,f,2,9,0,0.5,8.0
35622.641436,3.5,e,2,1,0,-0.5,8.0
38405.74155,3.5,e,2,2,0,-0.5,8.0
40988.429726,3.5,e,2,3,0,-0.5,8.0
43362.918261,3.5,e,2,4,0,-0.5,8.0
45514.4399,3.5,e,2,5,0,-0.5,8.0
47420.627297,3.5,e,2,6,0,-0.5,8.0
49030.392478,3.5,e,2,7,0,-0.5,8.0
50279.195019,3.5,e,2,8,0,-0.5,8.0
51081.886592,3.5,e,2,9,0,-0.5,8.0
35751.256462,4.5,e,2,1,0,0.5,8.0
38527.615265,4.5,e,2,2,0,0.5,8.0
41103.456843,4.5,e,2,3,0,0.5,8.0
43470.711896,4.5,e,2,4,0,0.5,8.0
45610.311528,4.5,e,2,5,0,0.5,8.0
47511.010454,4.5,e,2,6,0,0.5,8.0
49110.079656,4.5,e,2,7,0,0.5,8.0
50344.730836,4.5,e,2,8,0,0.5,8.0
51127.792694,4.5,e,2,9,0,0.5,8.0
35910.466355,4.5,f,2,1,0,-0.5,8.0
38678.44895,4.5,f,2,2,0,-0.5,8.0
41245.601816,4.5,f,2,3,0,-0.5,8.0
43604.169694,4.5,f,2,4,0,-0.5,8.0
45739.655779,4.5,f,2,5,0,-0.5,8.0
47621.672751,4.5,f,2,6,0,-0.5,8.0
49208.453386,4.5,f,2,7,0,-0.5,8.0
50425.184528,4.5,f,2,8,0,-0.5,8.0
36102.147959,5.5,f,2,1,0,0.5,8.0
38860.028452,5.5,f,2,2,0,0.5,8.0
41416.718536,5.5,f,2,3,0,0.5,8.0
43763.992711,5.5,f,2,4,0,0.5,8.0
45886.866751,5.5,f,2,5,0,0.5,8.0
47759.941815,5.5,f,2,6,0,0.5,8.0
